ID,Kp_Level,Kp_Range,Bz_Level,Bz_Range,Bt_Level,Bt_Range,Speed_Level,Speed_Range,Density_Level,Density_Range,Aurora_Probability_%,Aurora_Type,Aurora_Colors,Aurora_Structure,Latitude_Reach_°,Duration_Hours
1,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.3,None,N/A,N/A,>70°,0
2,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.3,None,N/A,N/A,>70°,0
3,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.3,None,N/A,N/A,>70°,0
4,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,High,15-25 p/cm³,0.4,None,N/A,N/A,>70°,0
5,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.4,None,N/A,N/A,>70°,0
6,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.4,None,N/A,N/A,>70°,0
7,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.4,None,N/A,N/A,>70°,0
8,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.4,None,N/A,N/A,>70°,0
9,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.5,None,N/A,N/A,>70°,0
10,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.5,None,N/A,N/A,>70°,0
11,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.5,None,N/A,N/A,>70°,0
12,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.5,None,N/A,N/A,>70°,0
